name,publisher,sourceUrl,releaseDate,accessType,license,inferenceSupport,source,country,modelSize,capabilities,lastUpdated
"Llama 2","Meta","https://github.com/facebookresearch/llama","2023-07-18","Open Source","Custom","CPU/GPU","Fallback Data","US","Unknown",Text Generation,"2025-07-11T05:14:21.109Z"
"GPT4All","Nomic AI","https://github.com/nomic-ai/gpt4all","2023-03-27","Open Source","MIT","CPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.110Z"
"Vicuna","LMSYS","https://github.com/lm-sys/FastChat","2023-03-30","Open Source","Apache 2.0","CPU/GPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.111Z"
"Alpaca","Stanford","https://github.com/tatsu-lab/stanford_alpaca","2023-03-13","Open Source","Apache 2.0","CPU/GPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.111Z"
"Code Llama","Meta","https://github.com/facebookresearch/codellama","2023-08-24","Open Source","Custom","CPU/GPU","Fallback Data","US","Unknown",Code Generation,"2025-07-11T05:14:21.111Z"
"ai-etf-signals","kevinchwong","https://github.com/kevinchwong/ai-etf-signals","2025-06-17T04:36:46Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.111Z"
"kalavai-client","kalavai-net","https://github.com/kalavai-net/kalavai-client","2023-08-24T12:33:22Z","Open Source","Apache License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.111Z"
"WebAI-to-API","Amm1rr","https://github.com/Amm1rr/WebAI-to-API","2023-07-22T21:06:30Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.111Z"
"CryptoMind","Luiz-Trindade","https://github.com/Luiz-Trindade/CryptoMind","2025-03-30T17:17:20Z","Open Source","GNU General Public License v3.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.111Z"
"AI-TUI","Username0103","https://github.com/Username0103/AI-TUI","2025-04-19T15:00:44Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.112Z"
"code-collector","trudov","https://github.com/trudov/code-collector","2025-04-14T07:47:14Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Code Generation,"2025-07-11T05:14:21.112Z"
"DeepSeek-R1-chatbot","jaimealruiz","https://github.com/jaimealruiz/DeepSeek-R1-chatbot","2025-02-08T22:32:27Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T05:14:21.112Z"
"Open-Source-LLM-on-qualitative-and-quantitative-data","chenliseu","https://github.com/chenliseu/Open-Source-LLM-on-qualitative-and-quantitative-data","2024-09-21T14:37:45Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.112Z"
"tlg-chatbot-render","mitumh3","https://github.com/mitumh3/tlg-chatbot-render","2023-03-10T09:13:46Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T05:14:21.112Z"
"LipiPala","dearabhin","https://github.com/dearabhin/LipiPala","2025-02-28T17:13:14Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.112Z"
"reflectlm","LunaStev","https://github.com/LunaStev/reflectlm","2025-05-23T12:04:31Z","Open Source","Mozilla Public License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.113Z"
"DialogStudio","salesforce","https://github.com/salesforce/DialogStudio","2023-06-06T04:20:39Z","Open Source","Apache License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.113Z"
"likhon-3.5","nectariferous","https://github.com/nectariferous/likhon-3.5","2024-07-10T23:01:02Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.113Z"
"DiscordLLM","boshyxd","https://github.com/boshyxd/DiscordLLM","2024-06-23T03:29:06Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.113Z"
"chatgpt-prompt-splitter","jupediaz","https://github.com/jupediaz/chatgpt-prompt-splitter","2023-03-16T04:56:28Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T05:14:21.113Z"
"ChatGPT-Mobile","slxmmy999","https://github.com/slxmmy999/ChatGPT-Mobile","2023-05-17T05:26:22Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T05:14:21.113Z"
"LLaMa-Language-Model-Repository","ariankharazmi","https://github.com/ariankharazmi/LLaMa-Language-Model-Repository","2023-03-15T20:57:37Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.113Z"
"torchKbert","KKenny0","https://github.com/KKenny0/torchKbert","2021-03-03T01:31:21Z","Open Source","Apache License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T05:14:21.113Z"
"crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","crepsly","https://huggingface.co/crepsly/Qwen3-0.6B-Gensyn-Swarm-hibernating_thriving_camel","2025-07-11T05:14:17.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T05:14:21.113Z"
