name,publisher,sourceUrl,releaseDate,accessType,license,inferenceSupport,source,country,modelSize,capabilities,lastUpdated
"Llama 2","Meta","https://github.com/facebookresearch/llama","2023-07-18","Open Source","Custom","CPU/GPU","Fallback Data","US","Unknown",Text Generation,"2025-07-11T06:10:30.681Z"
"GPT4All","Nomic AI","https://github.com/nomic-ai/gpt4all","2023-03-27","Open Source","MIT","CPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.681Z"
"Vicuna","LMSYS","https://github.com/lm-sys/FastChat","2023-03-30","Open Source","Apache 2.0","CPU/GPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"Alpaca","Stanford","https://github.com/tatsu-lab/stanford_alpaca","2023-03-13","Open Source","Apache 2.0","CPU/GPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"Code Llama","Meta","https://github.com/facebookresearch/codellama","2023-08-24","Open Source","Custom","CPU/GPU","Fallback Data","US","Unknown",Code Generation,"2025-07-11T06:10:30.682Z"
"ai-etf-signals","kevinchwong","https://github.com/kevinchwong/ai-etf-signals","2025-06-17T04:36:46Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"kalavai-client","kalavai-net","https://github.com/kalavai-net/kalavai-client","2023-08-24T12:33:22Z","Open Source","Apache License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"WebAI-to-API","Amm1rr","https://github.com/Amm1rr/WebAI-to-API","2023-07-22T21:06:30Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"CryptoMind","Luiz-Trindade","https://github.com/Luiz-Trindade/CryptoMind","2025-03-30T17:17:20Z","Open Source","GNU General Public License v3.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"AI-TUI","Username0103","https://github.com/Username0103/AI-TUI","2025-04-19T15:00:44Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"code-collector","trudov","https://github.com/trudov/code-collector","2025-04-14T07:47:14Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Code Generation,"2025-07-11T06:10:30.682Z"
"DeepSeek-R1-chatbot","jaimealruiz","https://github.com/jaimealruiz/DeepSeek-R1-chatbot","2025-02-08T22:32:27Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T06:10:30.682Z"
"Open-Source-LLM-on-qualitative-and-quantitative-data","chenliseu","https://github.com/chenliseu/Open-Source-LLM-on-qualitative-and-quantitative-data","2024-09-21T14:37:45Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.682Z"
"tlg-chatbot-render","mitumh3","https://github.com/mitumh3/tlg-chatbot-render","2023-03-10T09:13:46Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T06:10:30.683Z"
"LipiPala","dearabhin","https://github.com/dearabhin/LipiPala","2025-02-28T17:13:14Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"reflectlm","LunaStev","https://github.com/LunaStev/reflectlm","2025-05-23T12:04:31Z","Open Source","Mozilla Public License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"DialogStudio","salesforce","https://github.com/salesforce/DialogStudio","2023-06-06T04:20:39Z","Open Source","Apache License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"likhon-3.5","nectariferous","https://github.com/nectariferous/likhon-3.5","2024-07-10T23:01:02Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"DiscordLLM","boshyxd","https://github.com/boshyxd/DiscordLLM","2024-06-23T03:29:06Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"chatgpt-prompt-splitter","jupediaz","https://github.com/jupediaz/chatgpt-prompt-splitter","2023-03-16T04:56:28Z","Open Source","MIT License","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T06:10:30.683Z"
"ChatGPT-Mobile","slxmmy999","https://github.com/slxmmy999/ChatGPT-Mobile","2023-05-17T05:26:22Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Conversational,"2025-07-11T06:10:30.683Z"
"LLaMa-Language-Model-Repository","ariankharazmi","https://github.com/ariankharazmi/LLaMa-Language-Model-Repository","2023-03-15T20:57:37Z","Open Source","Unknown","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"torchKbert","KKenny0","https://github.com/KKenny0/torchKbert","2021-03-03T01:31:21Z","Open Source","Apache License 2.0","CPU/GPU","GitHub","Unknown","Unknown",Text Generation,"2025-07-11T06:10:30.683Z"
"ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","ecamli","https://huggingface.co/ecamli/Qwen2.5-1.5B-Instruct-Gensyn-Swarm-vocal_placid_sloth","2025-07-11T06:10:07.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.683Z"
"andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","andr0m4da","https://huggingface.co/andr0m4da/Qwen3-0.6B-Gensyn-Swarm-strong_lively_turkey","2025-07-11T06:09:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.683Z"
"ConfRL/Qwen2.5-7B-Confidence-SFT","ConfRL","https://huggingface.co/ConfRL/Qwen2.5-7B-Confidence-SFT","2025-07-11T06:09:54.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","7B",Text Generation,"2025-07-11T06:10:30.684Z"
"MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","MaxVell337","https://huggingface.co/MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","2025-07-11T06:09:52.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"okuzarabasi/Qwen3-0.6B-Gensyn-Swarm-grunting_toothy_elk","okuzarabasi","https://huggingface.co/okuzarabasi/Qwen3-0.6B-Gensyn-Swarm-grunting_toothy_elk","2025-07-11T06:09:47.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.684Z"
"0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","0xshaf","https://huggingface.co/0xshaf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_vicious_flamingo","2025-07-11T06:09:39.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","silverbenehi","https://huggingface.co/silverbenehi/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-bold_running_kangaroo","2025-07-11T06:09:36.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","anatolijbatalko","https://huggingface.co/anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink","2025-07-11T06:09:34.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","p2g4ads5","https://huggingface.co/p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus","2025-07-11T06:09:33.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:10:30.684Z"
"aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","aramzz","https://huggingface.co/aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","2025-07-11T06:09:32.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","maki28","https://huggingface.co/maki28/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-fleecy_gilded_swan","2025-07-11T06:09:31.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
"Bikeman/Qwen3-0.6B-Gensyn-Swarm-coiled_pouncing_beaver","Bikeman","https://huggingface.co/Bikeman/Qwen3-0.6B-Gensyn-Swarm-coiled_pouncing_beaver","2025-07-11T06:09:27.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.684Z"
"p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","p2g8gensyn","https://huggingface.co/p2g8gensyn/Qwen2.5-0.5B-Gensyn-Swarm-diving_giant_alpaca","2025-07-11T06:09:25.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Text Generation,"2025-07-11T06:10:30.684Z"
"LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","LaidBackReed","https://huggingface.co/LaidBackReed/Qwen3-0.6B-Gensyn-Swarm-humming_snorting_cobra","2025-07-11T06:09:22.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.684Z"
"khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","khangnguyen1287","https://huggingface.co/khangnguyen1287/Qwen3-0.6B-Gensyn-Swarm-mammalian_rugged_caterpillar","2025-07-11T06:09:07.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:10:30.684Z"
"hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","hazentr","https://huggingface.co/hazentr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-roaring_colorful_buffalo","2025-07-11T06:09:04.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:10:30.684Z"
