name,shortName,country,modelSize,sourceUrl,releaseDate,accessType,license,capabilities,lastUpdated
"Llama 2","Llama-2","US","Unknown","https://github.com/facebookresearch/llama","2023-07-18","Open Source","Custom",Text Generation,"2025-07-11T07:18:52.388Z"
"GPT4All","GPT4All","Unknown","Unknown","https://github.com/nomic-ai/gpt4all","2023-03-27","Open Source","MIT",Text Generation,"2025-07-11T07:18:52.389Z"
"Vicuna","Vicuna","Unknown","Unknown","https://github.com/lm-sys/FastChat","2023-03-30","Open Source","Apache 2.0",Text Generation,"2025-07-11T07:18:52.389Z"
"Alpaca","Alpaca","Unknown","Unknown","https://github.com/tatsu-lab/stanford_alpaca","2023-03-13","Open Source","Apache 2.0",Text Generation,"2025-07-11T07:18:52.389Z"
"Code Llama","Code-Llama","US","Unknown","https://github.com/facebookresearch/codellama","2023-08-24","Open Source","Custom",Code Generation,"2025-07-11T07:18:52.390Z"
"ai-etf-signals","etf-signals","Unknown","Unknown","https://github.com/kevinchwong/ai-etf-signals","2025-06-17","Open Source","MIT License",Text Generation,"2025-07-11T07:18:52.390Z"
"kalavai-client","kalavai-client","Unknown","Unknown","https://github.com/kalavai-net/kalavai-client","2023-08-24","Open Source","Apache License 2.0",Text Generation,"2025-07-11T07:18:52.390Z"
"WebAI-to-API","WebAI-API","Unknown","Unknown","https://github.com/Amm1rr/WebAI-to-API","2023-07-22","Open Source","MIT License",Text Generation,"2025-07-11T07:18:52.390Z"
"CryptoMind","CryptoMind","Unknown","Unknown","https://github.com/Luiz-Trindade/CryptoMind","2025-03-30","Open Source","GNU General Public License v3.0",Text Generation,"2025-07-11T07:18:52.390Z"
"AI-TUI","TUI","Unknown","Unknown","https://github.com/Username0103/AI-TUI","2025-04-19","Open Source","MIT License",Text Generation,"2025-07-11T07:18:52.390Z"
"code-collector","code-collector","Unknown","Unknown","https://github.com/trudov/code-collector","2025-04-14","Open Source","Unknown",Code Generation,"2025-07-11T07:18:52.390Z"
"DeepSeek-R1-chatbot","DeepSeek-chatbot","Unknown","Unknown","https://github.com/jaimealruiz/DeepSeek-R1-chatbot","2025-02-08","Open Source","MIT License",Conversational,"2025-07-11T07:18:52.390Z"
"Open-Source-LLM-on-qualitative-and-quantitative-data","Open-Source-qualitative","Unknown","Unknown","https://github.com/chenliseu/Open-Source-LLM-on-qualitative-and-quantitative-data","2024-09-21","Open Source","Unknown",Text Generation,"2025-07-11T07:18:52.390Z"
"tlg-chatbot-render","tlg-chatbot-render","Unknown","Unknown","https://github.com/mitumh3/tlg-chatbot-render","2023-03-10","Open Source","MIT License",Conversational,"2025-07-11T07:18:52.390Z"
"LipiPala","LipiPala","Unknown","Unknown","https://github.com/dearabhin/LipiPala","2025-02-28","Open Source","MIT License",Text Generation,"2025-07-11T07:18:52.391Z"
"reflectlm","reflectlm","Unknown","Unknown","https://github.com/LunaStev/reflectlm","2025-05-23","Open Source","Mozilla Public License 2.0",Text Generation,"2025-07-11T07:18:52.391Z"
"DialogStudio","DialogStudio","Unknown","Unknown","https://github.com/salesforce/DialogStudio","2023-06-06","Open Source","Apache License 2.0",Text Generation,"2025-07-11T07:18:52.391Z"
"likhon-3.5","likhon-3.5","Unknown","Unknown","https://github.com/nectariferous/likhon-3.5","2024-07-10","Open Source","MIT License",Text Generation,"2025-07-11T07:18:52.391Z"
